supplier_id,supplier_name,category,city,city_tier,avg_lead_time_days,lead_time_variance_days,annual_contract_value_inr,years_active,payment_terms_days,certifications
SUP-0001,Biotique,Electronics,Madurai,Tier 3,42.9,7.59,39200088,22,45,ISO 9001
SUP-0002,Schaeffler India,Chemicals,Jodhpur,Tier 3,10.9,1.93,2330306,24,45,ISO 14001
SUP-0003,Suminter India Organics,Electronics,Pune,Tier 1,28.5,4.27,8324828,9,30,ISO 9001 + IATF
SUP-0004,Pilgrim Supply,Chemicals,Rajkot,Tier 3,20.4,3.61,35344211,17,45,Multiple
SUP-0005,Sunhearrt Ceramic,Chemicals,Jabalpur,Tier 3,16.1,2.85,6730948,21,30,ISO 9001
SUP-0006,Jtekt India,Automotive Parts,Hyderabad,Tier 1,16.1,2.42,10370250,1,60,None
SUP-0007,Marico Supply,Raw Materials,Hyderabad,Tier 1,10.8,1.62,14779551,21,45,ISO 9001
SUP-0008,Tata Steel Components,Chemicals,Chennai,Tier 1,8.2,1.23,1126690,8,45,ISO 9001
SUP-0009,Heidelberg India,Electronics,Madurai,Tier 3,25.0,4.42,18972923,2,45,ISO 9001
SUP-0010,Mangalam Cement,Chemicals,Hyderabad,Tier 1,15.5,2.32,27389716,7,30,ISO 14001
SUP-0011,Kama Ayurveda,Automotive Parts,Nagpur,Tier 2,23.8,3.57,5508254,4,45,ISO 9001 + IATF
SUP-0012,Polycab India,Chemicals,Raipur,Tier 3,16.4,2.9,81261855,8,90,Multiple
SUP-0013,Cummins India,Safety Equipment,Delhi,Tier 1,15.1,2.26,107334939,23,45,ISO 9001
SUP-0014,India Cements,Safety Equipment,Nagpur,Tier 2,16.3,2.44,6185737,21,45,Multiple
SUP-0015,Hira Cement,Electronics,Indore,Tier 2,26.0,3.9,7242589,7,60,ISO 9001
SUP-0016,NRB Bearings,Electrical,Vadodara,Tier 2,21.0,3.15,36776363,15,45,ISO 9001
SUP-0017,HCL Materials,Raw Materials,Vadodara,Tier 2,20.4,3.06,1286204,23,60,None
SUP-0018,Sundram Fasteners,Automotive Parts,Vadodara,Tier 2,28.7,4.3,21569989,6,90,ISO 9001
SUP-0019,Hamdard India,Packaging,Mumbai,Tier 1,11.1,1.66,9435014,8,45,ISO 9001 + IATF
SUP-0020,Exide Industries,Electronics,Bangalore,Tier 1,34.8,5.22,8671951,16,45,None
SUP-0021,Neemans,Safety Equipment,Jaipur,Tier 2,9.9,1.49,29319994,18,60,ISO 9001
SUP-0022,Dot & Key Supply,Electronics,Ludhiana,Tier 2,25.3,3.79,8228583,1,60,ISO 14001
SUP-0023,Zuari Cement,Electrical,Hyderabad,Tier 1,19.4,2.91,185883280,1,45,ISO 9001
SUP-0024,Infosys Supply Co,Electronics,Gwalior,Tier 3,31.0,5.49,35759800,6,60,None
SUP-0025,NatureLand Organics,Electrical,Hyderabad,Tier 1,14.3,2.15,4870429,24,45,ISO 9001 + IATF
SUP-0026,Bajaj Components,Electronics,Delhi,Tier 1,35.4,5.31,7306402,1,60,ISO 9001
SUP-0027,Lotus Herbals,Raw Materials,Vadodara,Tier 2,20.1,3.02,5061841,21,30,ISO 14001
SUP-0028,Time Technoplast,Electrical,Pune,Tier 1,25.0,3.75,2027915,20,30,ISO 14001
SUP-0029,ABB Components,Raw Materials,Vadodara,Tier 2,17.3,2.6,2012034,21,45,ISO 9001
SUP-0030,Samvardhana Motherson,Packaging,Mumbai,Tier 1,8.2,1.23,8483651,14,30,ISO 9001
SUP-0031,Rex Remedies,Automotive Parts,Ahmedabad,Tier 1,17.0,2.55,20896096,11,60,ISO 9001
SUP-0032,Motherson Sumi,Packaging,Vadodara,Tier 2,12.5,1.88,9244779,18,90,ISO 9001
SUP-0033,Godrej Materials,Electronics,Ludhiana,Tier 2,22.5,3.38,10847152,10,60,ISO 9001
SUP-0034,RiteBite Max Protein,Raw Materials,Jabalpur,Tier 3,13.7,2.42,1961829,24,60,ISO 9001 + IATF
SUP-0035,Finolex Cables,Electronics,Indore,Tier 2,28.2,4.23,15239015,24,45,Multiple
SUP-0036,Ecotyl,Packaging,Raipur,Tier 3,9.2,1.63,29869132,21,45,ISO 14001
SUP-0037,NCL Industries,Mechanical Components,Jabalpur,Tier 3,27.6,4.89,500000000,8,60,ISO 9001 + IATF
SUP-0038,Varmora Granito,Raw Materials,Mumbai,Tier 1,7.7,1.16,20511562,10,90,None
SUP-0039,Ultratech Supply,Chemicals,Meerut,Tier 3,10.0,1.77,22830220,4,45,None
SUP-0040,Emami Agrotech,Electrical,Ahmedabad,Tier 1,18.7,2.8,1351829,18,45,ISO 9001 + IATF
SUP-0041,Sitaram Ayurveda,Electrical,Madurai,Tier 3,10.1,1.79,21529324,21,45,ISO 9001 + IATF
SUP-0042,Morarka Organic,Mechanical Components,Mumbai,Tier 1,16.5,2.48,3974245,3,60,None
SUP-0043,Lumax Industries,Electronics,Ludhiana,Tier 2,22.7,3.4,16208974,23,45,None
SUP-0044,Baba Ramdev Supply,Electronics,Jaipur,Tier 2,22.6,3.39,60132686,24,30,ISO 9001
SUP-0045,Minda Corp,Automotive Parts,Jabalpur,Tier 3,18.9,3.35,4679791,21,45,None
SUP-0046,Anand Automotive,Chemicals,Indore,Tier 2,9.3,1.4,20052028,10,90,ISO 9001
SUP-0047,Ramkrishna Forgings,Consumables,Hyderabad,Tier 1,4.6,0.69,27304139,24,45,ISO 9001
SUP-0048,Orient Electric,Mechanical Components,Bangalore,Tier 1,26.5,3.97,1895227,9,45,ISO 9001
SUP-0049,Taru Naturals,Raw Materials,Jaipur,Tier 2,9.6,1.44,2311570,21,90,ISO 14001
SUP-0050,Hero Metal Works,Electronics,Nagpur,Tier 2,44.6,6.69,17952235,17,45,Multiple
SUP-0051,Suprajit Engineering,Mechanical Components,Meerut,Tier 3,10.9,1.93,6897905,5,30,None
SUP-0052,GKN Driveline India,Electronics,Bangalore,Tier 1,39.7,5.96,43578697,13,45,ISO 9001
SUP-0053,Vaidyaratnam,Electronics,Vadodara,Tier 2,32.4,4.86,41258916,14,45,ISO 14001
SUP-0054,Orient Cement,Electrical,Nagpur,Tier 2,19.7,2.95,3850039,11,90,ISO 9001 + IATF
SUP-0055,SKF Bearings India,Mechanical Components,Ahmedabad,Tier 1,21.7,3.25,41602641,10,45,ISO 9001
SUP-0056,Sresta Natural,Electrical,Hyderabad,Tier 1,24.2,3.63,36718400,11,30,ISO 9001
SUP-0057,Vyas Pharmaceuticals,Raw Materials,Mumbai,Tier 1,9.3,1.4,3891020,15,30,ISO 14001
SUP-0058,BASF India,Electronics,Varanasi,Tier 3,35.8,6.34,18904126,12,90,ISO 9001 + IATF
SUP-0059,Orientbell Tiles,Electrical,Coimbatore,Tier 2,12.9,1.94,19187037,23,60,ISO 9001
SUP-0060,Organic India,Raw Materials,Vadodara,Tier 2,15.7,2.35,6711480,24,45,ISO 9001 + IATF
SUP-0061,Endurance Technologies,Electronics,Indore,Tier 2,37.6,5.64,7012305,12,90,None
SUP-0062,Asahi India Glass,Raw Materials,Nagpur,Tier 2,15.4,2.31,9152775,12,30,ISO 9001
SUP-0063,The Souled Store Supply,Packaging,Mumbai,Tier 1,8.5,1.27,5172311,5,45,ISO 9001 + IATF
SUP-0064,Murudeshwar Ceramics,Electronics,Nagpur,Tier 2,31.9,4.78,7458950,3,30,ISO 9001
SUP-0065,Dabur India Supply,Raw Materials,Madurai,Tier 3,16.6,2.94,162844560,20,90,ISO 9001 + IATF
SUP-0066,Bell Ceramics,Automotive Parts,Madurai,Tier 3,28.9,5.12,53890207,2,45,None
SUP-0067,mCaffeine Supply,Mechanical Components,Jaipur,Tier 2,27.5,4.12,6651688,3,45,ISO 9001 + IATF
